Test Case,Component,Alpha (α),Delta (δ),Schedulable
1-tiny-test-case,Camera_Sensor,0.9938709677419355,0.0,Yes
2-small-test-case,Camera_Sensor,0.5316129032258065,0.0,Yes
2-small-test-case,Image_Processor,0.28553763440860214,45.0,Yes
3-medium-test-case,Camera_Sensor,0.4976957494407159,0.0,Yes
3-medium-test-case,Image_Processor,0.2874049217002237,0.0,Yes
3-medium-test-case,Lidar_Sensor,0.22774193548387098,7.5,Yes
3-medium-test-case,Control_Unit,0.6229032258064516,12.0,Yes
4-large-test-case,Camera_Sensor,0.18901234567901234,0.0,Yes
4-large-test-case,Image_Processor,0.19518518518518518,15.0,Yes
4-large-test-case,GPS_Sensor,0.15864864864864867,0.0,Yes
4-large-test-case,Control_Unit,0.6183333333333334,15.0,Yes
4-large-test-case,Communication_Unit,0.41540540540540544,0.0,Yes
4-large-test-case,Bitmap_Processor,0.13654320987654323,22.5,Yes
4-large-test-case,Lidar_Sensor,0.33222222222222225,0.0,Yes
5-huge-test-case,Bitmap_Processor,0.2000826446280992,0.0,Yes
5-huge-test-case,Image_Processor,0.10366391184573003,0.0,Yes
5-huge-test-case,Camera_Sensor,0.27170798898071624,0.0,Yes
5-huge-test-case,Communication_Unit,0.09908045977011495,15.0,Yes
5-huge-test-case,GPS_Sensor,0.09620689655172414,0.0,Yes
5-huge-test-case,Humidity_Sensor,0.5028057553956834,0.0,Yes
5-huge-test-case,Infrared_Sensor,0.2631645569620253,0.0,Yes
5-huge-test-case,Pressure_Sensor,0.08913669064748202,0.0,Yes
5-huge-test-case,Thermal_Sensor,0.3711111111111111,0.0,Yes
5-huge-test-case,Ultraviolet_Sensor,0.20620811287477953,30.0,Yes
5-huge-test-case,Proximity_Sensor,0.10482758620689656,0.0,Yes
5-huge-test-case,Laser_Sensor,0.4108438818565401,3.0,Yes
5-huge-test-case,Sonar_Sensor,0.19018018018018018,0.0,Yes
5-huge-test-case,Control_Unit,0.18412935323383084,22.5,Yes
5-huge-test-case,Lidar_Sensor,0.27865671641791045,7.5,Yes
5-huge-test-case,Radar_Sensor,0.4964864864864865,0.0,Yes
5-huge-test-case,Light_Sensor,0.16873015873015873,0.0,Yes
5-huge-test-case,Temperature_Sensor,0.5964197530864197,12.0,Yes
6-gigantic-test-case,Rain_Gauge_Sensor,0.2885388127853881,7.5,Yes
6-gigantic-test-case,Anemometer_Sensor,0.46890410958904105,3.0,Yes
6-gigantic-test-case,Hygrometer_Sensor,0.202,0.0,Yes
6-gigantic-test-case,Barometer_Sensor,0.47400000000000003,12.0,Yes
